File,left_x,left_x_sd,left_y,left_y_sd,right_x,right_x_sd,right_y,right_y_sd
athlete,1.21497535,0.061100622,1.216990812,0.034497383,1.214312557,0.072193885,1.213323832,0.04259423
athlete,1.197728349,0.084890344,1.183431637,0.058154234,1.254413393,0.063373262,1.272174652,0.042755611
athlete,1.256543123,0.053387165,1.26252866,0.027602312,1.264838313,0.041892542,1.206582319,0.021566417
athlete,1.24931243,0.054696017,1.227948315,0.02988978,1.214473765,0.043460279,1.211705637,0.021255408
athlete,1.280103513,0.050074071,1.194768374,0.029826195,1.215098175,0.052614979,1.245767273,0.032915671
athlete,1.229521792,0.055633943,1.229041486,0.029353647,1.203951501,0.053999434,1.197859981,0.028523227
athlete,1.226561634,0.049865658,1.243937199,0.023754465,1.221664118,0.046248449,1.244109509,0.025467299
athlete,1.221919013,0.036267083,1.226911473,0.019401541,1.233689232,0.038722456,1.208730931,0.026669858
athlete,1.2182427,0.043943637,1.24295418,0.027976237,1.271656352,0.041040013,1.256443686,0.036136691
athlete,1.270952214,0.058025941,1.308956712,0.041009922,1.315888551,0.044434269,1.285117088,0.031238598
athlete,1.198687155,0.039620722,1.146161699,0.023663366,1.230668269,0.046853278,1.196067936,0.034880535
athlete,1.242140973,0.054831317,1.210368677,0.043401274,1.207814375,0.066498249,1.161613734,0.033906538
athlete,1.318183491,0.048399712,1.244062238,0.04812116,1.248952365,0.04799715,1.277008472,0.029472351
athlete,1.251500516,0.06046745,1.209192574,0.046992893,1.283545668,0.034926829,1.182267254,0.024549116
athlete,1.239187533,0.052727713,1.178426117,0.05083146,1.241202873,0.050734978,1.202904531,0.071516209
athlete,1.28002885,0.048699721,1.230519331,0.041256804,1.242898315,0.060783392,1.222188072,0.043518136
athlete,1.254530697,0.040111669,1.236379491,0.022397663,1.254962918,0.047504656,1.149459084,0.038610516
athlete,1.234180982,0.044874689,1.218605413,0.030106898,1.191470478,0.057423467,1.193998974,0.049906988
athlete,1.256647588,0.041890117,1.190646741,0.024517807,1.326277122,0.040538156,1.20870513,0.024206115
athlete,1.244078192,0.050141711,1.216942273,0.032453312,1.247155279,0.054861289,1.193430121,0.039998013
normal,1.212202851,0.040393079,1.208335671,0.031611184,1.257262232,0.046095143,1.245787683,0.019944231
normal,1.316300772,0.032404696,1.202703174,0.044569763,1.307025194,0.034968676,1.224907952,0.030784884
normal,1.249318232,0.066878656,1.233181768,0.055909803,1.239716592,0.069276341,1.239806534,0.055785142
normal,1.220355894,0.07605473,1.230046377,0.065378998,1.291239289,0.084034515,1.299567249,0.068890305
normal,1.20463156,0.069092728,1.196796363,0.053118487,1.205832722,0.058897948,1.193178221,0.029257371
normal,1.205476843,0.06069872,1.20783246,0.049894994,1.190874591,0.045041864,1.200293463,0.042466038
normal,1.193259408,0.065011221,1.20818276,0.049447852,1.214935307,0.056281245,1.199379826,0.041485595
normal,1.321015076,0.054716562,1.273089887,0.035222653,1.285872715,0.052075989,1.340288427,0.041279956
normal,1.270505049,0.064621781,1.263415645,0.041740953,1.264682944,0.056347876,1.217292264,0.046551701
normal,1.267987463,0.051154729,1.269035735,0.053966094,1.35840802,0.047688497,1.273284167,0.032409755
normal,1.248536027,0.055971678,1.195696405,0.041283642,1.309077372,0.049661469,1.236359596,0.048090526
subject,1.108139771,0.042063985,1.08190422,0.028195975,1.092480935,0.043498579,1.084526875,0.025649346
